qn,ans
come on man . if this shit was all over .,having a pint in the rock .
the canadian prime minister wants to set a lunch,pencil it in for the next trip
you ve got to go now dil,do i ?
you set yourself up tonight when you attacked kathy you crazy fuck !,what ?
what ?,come on . ease off the girl .
what do you want ?,you re pretty when you re angry .
look i really don t know your daughter but . . .,but what ?
what s the last thing you remember data . . .,his nose should pant and his lip should curl . . .
another stunt like that cowboy you re going to get us killed .,don t tell me what to do !
it could mean that yes .,that would probably mean the tijuana cartel is gaining power ?
yes !,yeah !
how much is there ?,don t count it .
you have no right to blame duval,that line was tampered with . . .
repeat . . . what s wrong ? what s wrong ?,. . . taking genesis away from us . . .
that s the mickey and mallory way .,that s the way of the world .
what ?,i made a mistake .
no .,well do you like him ?
this concrete ? this is still america .,what do you hear ?
must be a pick up a rendezvous .,then where s the chip .
how s the mother ?,she s dying . but i could still hear her big mouth .
i only meant . . .,these supplies . . . ?
okay .,i figure that way we won t get confused .
think i could rent a scooter ?,you have id ?
well how are you then ?,oh fine fi . keeping out of trouble you know .
now ?,yes !
we can t grab it . . .,run the subscription list . . .
he s in charge .,are you a doctor ?
how d she die ?,auto wreck .
d you find an apartment ?,still looking .
remember you promised . . . no screwing around .,did i promise that ? i don t remember that . . .
i know what you re getting at .,you do ?
you re damon bradley ?,uh huh .
c mon throw in a buck .,uh uh . i don t tip .
it s okay .,okay . . .
drive .,we re not gonna hurt you .
you know i m not .,you re a liar !
i ll page you with the number .,bye .
when ?,i can t get it until monday . honest .
how did you feel . . . being denied those hungry hungry hippos ?,regret .
tell me you love me .,whatever you say dil .
oh heh heh really ? cool . heh heh .,uh huh huh . . . we ll do it sir .
can you just follow me ? the back is full ?,sure .
i see .,besides i don t want to be what you want to make me .
it involves your brother . he . . . took advantage of me .,does your mother know ?
what news of the north ?,nothing new majesty . we have sent riders to speed any word .
it s so clean . no germs .,you re afraid of germs ?
i uh . . . well you re not from new york right ?,no chippewa falls .
i don t . . .i don t understand them myself .,try please anna
. . .his number .,i ll look it up for you .
more to the left . . . stay parallel . . .,hey you want to drive ?
he s gonna kill you !,i can handle it
just the man i wanted to see !,turn on the t .v .
sorry got an appointment to play shuffle board .,have we ? well i d just as soon play shuffle board .
left left left !,get over ! get over !
i ve got the check . . .,forget it . frame it . it s worthless .
what can i do for you ?,your department contacted our agency regarding information on sarah williams .
what s it gonna cost ?,but but but they would find out .
i don t think i was .,you were sir galahad you were in terrible peril .
i think they got me .,they got the bull fiddle .
mr . lundegaard ?,huh ? yah ?
i have seen ghosts whitman .,oh i ll bet you have .
cain like the bible guy ?,k a n e . one strong syllable . kane i
give me some money .,i don t have any money .
yeah . . . i thought we might need it . . .,what for ?
but we can t just dig it up !,why not ?
shhh . . . it s okay .,ray have you been here all this time ?
oh yeah he s alive . technically .,and you have him ?
well thank you .,always happy to do something for our girls in uniform .
harry son . harry .,and . . . what s my name again ?
why doesn t he just mix and match ?,i told him that and he yelled at me .
how many ?,what do you wanna know for ?
we are in the residence of the fartsbishop of salzburg .,fartsbishop !
what are you looking at ?,nothing .
i m just some big clown to you ain t i ?,that s not true where are you ?
i love your smell .,i guess you haven t .
look at that ! yeah ! come and get some boy !,no . . .
i d just be guessing .,guess !
south central .,how long you figure ?
jesus .,crabtree said it sounded like something james would be messed up in .
that s word for word .,is it ? i ve forgotten .
frightened .,do you remember what just happened ?
jake . . .,it s alright . grant s one of the good guys .
i got it woody !,he got it woody !
you look good damn good considering you re an old man now !,seems like the whole world s gotten younger .
so . how are you ?,fine . you ?
i m going to . . .,. . .stop me ?
steering wheel .,gear shift .
okay . i m outta here .,excuse me .
you want some ?,no thanks .
i guess we open it .,maybe we should knock first ?
don t bring her to the house no more .,what didn t you like about her ?
don t do that .,do what ?
who d you go with ? that s not good .,how d you do it ? the new you .
p as in . . .,. . .people who don t mind their own business .
what ?,flashlight .
what can i do for you folks ?,how much are your rooms ?
there can t be any wrong in this ha . . .,i lie to my parents every day . and every night .
how you be ?,i be . i m living large .
why did he go to see mary rooney ?,she s the only nurse who isn t testifying for the doctors .
i got hit . i can t believe it . i got shot .,you re done . end of story .
no .,i want to go with you !
no i m an actor .,oh yeah ? what kind of stuff ?
what the hell you doin back there ?,sonny come on out !
now it s okay ?,landon . you have two parents . we re both here for you even
fine . hey i m fine .,sit down . here . right here . albert ! vince !
sure sis .,aren t the roses beautiful ?
mama my story .,again ?
all right .,i ll lead em out .
shit .,billy ?
. . . do you know who i am ?,uhh . . . i m drawing a blank .
i d have fallen in love with a pilot or a mountain climber .,are you coming . . . ?
he said we . . .,to the cops ?
mommy s out to the hair dresser .,where is mrs . brown ?
. . .is there ?,how did you know i would be here ?
see now we ve got a plan .,don t worry about it bob .
coke .,cocaine ? how much ?
what ?,anything .
he ll be back soon .,how do you know ?
and ?,you re broke !
i know of him .,how is that ?
i was too busy .,nobody s too busy .
why don t you ask chuckie ?,chuckie od d mrs . esparza . he s dead .
and we moved out here for the quiet .,mmm .
she knows who killed del . elden she said it was a woman .,it wasn t a woman .
that is correct . and how do i decide ?,i don t know .
why didn t i ?,uh . you hate my guts ?
a statement ? good .,i have it here .
i m a file clerk harrison feed and grain .,how interesting .
yeah . we did it .,so we did .
why are we going here ? i hate this place .,it ll only take a second .
what s this guy s problem ?,i have no idea .
i think i ve heard of you .,it s possible .
come on .,you gonna tell me why ?
you know what ?,what ?
no .,why ?
i don t know how .,walk away .
i love you . . .,i ll check with eve . . .
do i want you ?,we ll get into that later .
get outta there !,i can t ! do you mind !
did she ask about me ?,who ?
it s fine but,do you think you ll ask her out ?
you talk to him ?,not really .
i m not .,you just going to sit there ?
hello ferrari . how s business at the blue parrot ?,fine but i would like to buy your cafe .
can i go now ?,grabs pauline by the shoulders .
she would say she knows enough .,how does she know ?
no .,yes .
how many men you killed ? ain t you gonna answer ?,i don t like the question .
i m getting scared .,i m telling you the truth . i lied before . . .
to that stewardess ?,yeah you met her ?
then once she s in you can guide her straight to the mainframe ?,as long as you cooperate . i want it now armitage .
